Device ID,Time [UTC+00:00],PM1 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM1 1-Hour Mean Mass Concentration Raw [ug/m3],PM1 1-Hour Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM2.5 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 1-Hour Mean Number Concentration [#/cm3],PM2.5 NowCast Mass Concentration [ug/m3],PM2.5 NowCast AQI (US EPA),PM2.5 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM2.5 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM2.5 24-Hour Rolling Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean AQI (WA DWER),PM10 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM10 1-Hour Mean Mass Concentration Raw [ug/m3],PM10 1-Hour Mean Number Concentration [#/cm3],PM10 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM10 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM10 24-Hour Rolling Mean Number Concentration [#/cm3],PM10 1-Hour Mean AQI (WA DWER),NO2 1-Hour Mean Concentration Calibrated [ppb],NO2 1-Hour Mean Concentration Raw [ppb],NO2 1-Hour Mean AQI (US EPA),NO2 1-Hour Mean AQI (WA DWER),O3 1-Hour Mean Concentration Raw [ppb],Temperature Internal 1-Hour Mean [degC],Temperature Ambient 1-Hour Mean [degC],Rel. Humidity Internal 1-Hour Mean [%],Rel. Humidity Ambient 1-Hour Mean [%],Wind Speed 1-Hour Mean [m/s],Wind Direction 1-Hour Mean [degrees],Atmospheric Pressure 1-Hour Mean [hPa],latitude,longitude
RV7PD1M1,2023-03-31T06:00:00.000Z,,,,,6.08,,,26,,18.9,,6,,8.96,,,21.42,,9,,,,,,,,,,,,,44.664084,20.926728999999998
RQCHFQWB,2023-03-31T06:00:00.000Z,,,,,10.27,,,38,,15.25,,10,,19.76,,,22.29,,20,,41.36,39,41,,,,,,,,,44.798745999999994,20.450184
RQMLY1RN,2023-03-31T06:00:00.000Z,,,,,,,,,,,,,,,,,,,,,25.18,24,25,,,,,,,,,44.011572999999984,20.925031
RBLVPLRM,2023-03-31T06:00:00.000Z,,,,,,,,,,,,,,,,,,,,,9.26,9,9,56.45,,,,,,,,44.803178999999986,20.400152
RH91V0ZQ,2023-03-31T06:00:00.000Z,,,,,,,,,,,,,,,,,,,,,6.08,6,6,,,,,,,,,44.652336,20.931675
RMQF0HMT,2023-03-31T06:00:00.000Z,,,,,9.86,,,39,,16.04,,10,,21.24,,,27.64,,21,,24.67,23,25,20.16,,,,,,,,44.82111999999999,20.459113000000002
RMQF0HMT,2023-03-31T05:00:00.000Z,,,,,7.2,,,36,,16.53,,7,,12.31,,,27.92,,12,,10.8,10,11,41.07,,,,,,,,44.82111999999999,20.459113000000002
RQCHFQWB,2023-03-31T05:00:00.000Z,,,,,7.03,,,33,,15.7,,7,,11.2,,,22.54,,11,,33.59,32,34,,,,,,,,,44.798745999999994,20.450184
RQMLY1RN,2023-03-31T05:00:00.000Z,,,,,,,,,,,,,,,,,,,,,25.06,24,25,,,,,,,,,44.011572999999984,20.925031
RV7PD1M1,2023-03-31T05:00:00.000Z,,,,,4.39,,,28,,19.35,,4,,5.36,,,21.91,,5,,,,,,,,,,,,,44.664084,20.926728999999998
RBLVPLRM,2023-03-31T05:00:00.000Z,,,,,,,,,,,,,,,,,,,,,4.88,5,5,66.1,,,,,,,,44.803178999999986,20.400152
RNVM05M6,2023-03-31T05:00:00.000Z,,,,,,,,,,,,,,,,,,,,,14.18,13,14,49.15,,,,,,,,44.796958999999994,20.475288
RH91V0ZQ,2023-03-31T05:00:00.000Z,,,,,,,,,,,,,,,,,,,,,4.62,4,5,,,,,,,,,44.652336,20.931675
RBLVPLRM,2023-03-31T04:00:00.000Z,,,,,,,,,,,,,,,,,,,,,4.15,4,4,71.04,,,,,,,,44.803178999999986,20.400152
RH91V0ZQ,2023-03-31T04:00:00.000Z,,,,,,,,,,,,,,,,,,,,,2.89,3,3,,,,,,,,,44.652336,20.931675
RMQF0HMT,2023-03-31T04:00:00.000Z,,,,,6.24,,,42,,17.1,,6,,10.08,,,28.42,,10,,4.48,4,4,58.53,,,,,,,,44.82111999999999,20.459113000000002
RV7PD1M1,2023-03-31T04:00:00.000Z,,,,,4.49,,,37,,19.79,,4,,4.96,,,22.43,,5,,,,,,,,,,,,,44.664084,20.926728999999998
RQCHFQWB,2023-03-31T04:00:00.000Z,,,,,5.04,,,36,,16.23,,5,,6.66,,,23.06,,7,,15.65,15,16,,,,,,,,,44.798745999999994,20.450184
RNVM05M6,2023-03-31T04:00:00.000Z,,,,,,,,,,,,,,,,,,,,,5.34,5,5,65.25,,,,,,,,44.796958999999994,20.475288
RQMLY1RN,2023-03-31T04:00:00.000Z,,,,,,,,,,,,,,,,,,,,,13.86,13,14,,,,,,,,,44.011572999999984,20.925031
RQCHFQWB,2023-03-31T03:00:00.000Z,,,,,4.97,,,52,,16.73,,5,,6.99,,,23.57,,7,,8.99,8,9,,,,,,,,,44.798745999999994,20.450184
