Device ID,Time [UTC+00:00],PM1 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM1 1-Hour Mean Mass Concentration Raw [ug/m3],PM1 1-Hour Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM2.5 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 1-Hour Mean Number Concentration [#/cm3],PM2.5 NowCast Mass Concentration [ug/m3],PM2.5 NowCast AQI (US EPA),PM2.5 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM2.5 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM2.5 24-Hour Rolling Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean AQI (WA DWER),PM10 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM10 1-Hour Mean Mass Concentration Raw [ug/m3],PM10 1-Hour Mean Number Concentration [#/cm3],PM10 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM10 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM10 24-Hour Rolling Mean Number Concentration [#/cm3],PM10 1-Hour Mean AQI (WA DWER),NO2 1-Hour Mean Concentration Calibrated [ppb],NO2 1-Hour Mean Concentration Raw [ppb],NO2 1-Hour Mean AQI (US EPA),NO2 1-Hour Mean AQI (WA DWER),O3 1-Hour Mean Concentration Raw [ppb],Temperature Internal 1-Hour Mean [degC],Rel. Humidity Internal 1-Hour Mean [%],Wind Speed 1-Hour Mean [m/s],Wind Direction 1-Hour Mean [degrees],latitude,longitude
A5H2PCSZ,2022-04-30T08:00:00.000Z,,7.61,15.25,,12.16,15.87,,54,,18.57,20.3,12,,13.32,16,,20.94,20.48,13,,-8.3,,,,25.26,36.46,,,44.797027,20.528377
AY1R2WBZ,2022-04-30T08:00:00.000Z,,12.19,18.89,,19.49,19.84,,70,,30.36,34.74,19,,21.45,19.96,,34.98,34.99,21,,2.79,3,3,,18.11,44.2,,,43.0671684,22.4085712
A0VTV4M9,2022-04-30T08:00:00.000Z,,14.68,20.38,,23.31,21.42,,103,,38.29,34.78,23,,25.18,21.56,,46.27,35.05,25,,-1.48,,,,16.01,61.94,,,44.010408,20.91121
A3QK8XR1,2022-04-30T08:00:00.000Z,,17.15,27.66,,26.11,29.04,,82,,27.36,31.6,26,,33.31,29.23,,35.15,31.81,33,,5.5,5,6,,20.99,40.9,,,44.010408,20.91121
AHVMMMWN,2022-04-30T08:00:00.000Z,,10.4,16.7,,17.56,17.62,,83,,29,23.68,18,,19.29,17.71,,34.72,23.87,19,,-14.67,,,,17.39,49.99,,,43.0671684,22.4085712
A2027ZB9,2022-04-30T08:00:00.000Z,,19.57,28.85,,31,30.32,,95,,34.31,30.7,31,,32.88,30.49,,40.42,30.97,33,,-10.59,,,,21.64,50.42,,,44.797027,20.528377
A9YQLGCC,2022-04-30T08:00:00.000Z,,11.21,17.23,,15.72,17.98,,69,,20.65,19.61,16,,18.57,18.08,,25.23,19.74,19,,-2.86,,,,17.84,49.41,,,42.5366089,20.2955676
AC8QFXSV,2022-04-30T08:00:00.000Z,,37.25,60.72,,62.36,64.08,,159,,65.32,52.8,62,,79.47,64.74,,90.34,53.49,79,,-20.89,,,,15.82,51.34,,,43.273598233937264,20.002305028664463
AQVRLJYL,2022-04-30T08:00:00.000Z,,12.12,19.81,,17.77,20.73,,112,,43.98,47.53,18,,22.2,20.83,,59.34,47.94,22,,-4.09,,,,20.02,54.02,,,44.664514,20.928384
ABZ0QQ65,2022-04-30T08:00:00.000Z,,13.08,24.34,,19.63,25.36,,70,,15.57,20.69,20,,21.45,25.48,,17.1,20.79,21,,5.95,6,6,,23.76,38.23,,,44.664514,20.928384
RQCHFQWB,2022-04-30T08:00:00.000Z,,,,,15.29,,,59,,16.92,,15,,23.59,,,24.84,,24,,12.48,12,12,,,,,,44.798745999999994,20.450184
RH91V0ZQ,2022-04-30T08:00:00.000Z,,,,,,,,,,,,,,,,,,,,,5.33,5,5,,,,,,44.652336,20.931675
RNVM05M6,2022-04-30T08:00:00.000Z,,,,,,,,,,,,,,,,,,,,,7.91,7,8,38.33,,,,,44.796958999999994,20.475288
RQMLY1RN,2022-04-30T08:00:00.000Z,,,,,,,,,,,,,,,,,,,,,11.53,11,12,,,,,,44.011572999999984,20.925031
RV7PD1M1,2022-04-30T08:00:00.000Z,,,,,13.45,,,72,,17.75,,13,,24.05,,,26.29,,24,,,,,,,,,,44.664084,20.926728999999998
RMQF0HMT,2022-04-30T08:00:00.000Z,,,,,14.81,,,57,,16.18,,15,,18.73,,,21.68,,19,,6.13,6,6,53.37,,,,,44.82111999999999,20.459113000000002
A5H2PCSZ,2022-04-30T07:00:00.000Z,,7.95,14.78,,12.5,15.42,,56,,18.48,20.27,12,,13.06,15.52,,20.84,20.44,13,,-2.04,,,,23.57,38.99,,,44.797027,20.528377
A0VTV4M9,2022-04-30T07:00:00.000Z,,29.65,40.79,,48.36,43.11,,131,,38.43,34.84,48,,60.63,43.48,,46.47,35.12,61,,5.48,5,5,,14.42,66.77,,,44.010408,20.91121
AQVRLJYL,2022-04-30T07:00:00.000Z,,20,29.88,,30.9,31.51,,154,,44.51,47.88,31,,40.41,31.73,,60.12,48.3,40,,-1.72,,,,17.69,62.93,,,44.664514,20.928384
