Device ID,Time [UTC+00:00],PM1 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM1 1-Hour Mean Mass Concentration Raw [ug/m3],PM1 1-Hour Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM2.5 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 1-Hour Mean Number Concentration [#/cm3],PM2.5 NowCast Mass Concentration [ug/m3],PM2.5 NowCast AQI (US EPA),PM2.5 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM2.5 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM2.5 24-Hour Rolling Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean AQI (WA DWER),PM10 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM10 1-Hour Mean Mass Concentration Raw [ug/m3],PM10 1-Hour Mean Number Concentration [#/cm3],PM10 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM10 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM10 24-Hour Rolling Mean Number Concentration [#/cm3],PM10 1-Hour Mean AQI (WA DWER),NO2 1-Hour Mean Concentration Calibrated [ppb],NO2 1-Hour Mean Concentration Raw [ppb],NO2 1-Hour Mean AQI (US EPA),NO2 1-Hour Mean AQI (WA DWER),O3 1-Hour Mean Concentration Raw [ppb],Temperature Internal 1-Hour Mean [degC],Rel. Humidity Internal 1-Hour Mean [%],Wind Speed 1-Hour Mean [m/s],Wind Direction 1-Hour Mean [degrees],latitude,longitude
RQCHFQWB,2022-02-28T09:00:00.000Z,,,,,26.89,,,82,,16.5,,27,,28.7,,,18.24,,29,,22.61,21,23,,,,,,44.798745999999994,20.450184
RH91V0ZQ,2022-02-28T09:00:00.000Z,,,,,,,,,,,,,,,,,,,,,5.01,5,5,,,,,,44.652336,20.931675
RV7PD1M1,2022-02-28T09:00:00.000Z,,,,,24.69,,,83,,22.56,,25,,24.8,,,27.19,,25,,,,,,,,,,44.664084,20.926728999999998
RMQF0HMT,2022-02-28T09:00:00.000Z,,,,,22.88,,,69,,16.77,,23,,25.87,,,19.28,,26,,7.11,7,7,39.01,,,,,44.82111999999999,20.459113000000002
RQMLY1RN,2022-02-28T09:00:00.000Z,,,,,,,,,,,,,,,,,,,,,14.55,14,15,,,,,,44.011572999999984,20.925031
RNVM05M6,2022-02-28T09:00:00.000Z,,,,,,,,,,,,,,,,,,,,,14.91,14,15,20.92,,,,,44.796958999999994,20.475288
RQCHFQWB,2022-02-28T08:00:00.000Z,,,,,35.18,,,83,,15.87,,35,,36.76,,,17.62,,37,,24.93,24,25,,,,,,44.798745999999994,20.450184
RQMLY1RN,2022-02-28T08:00:00.000Z,,,,,,,,,,,,,,,,,,,,,14.86,14,15,,,,,,44.011572999999984,20.925031
RH91V0ZQ,2022-02-28T08:00:00.000Z,,,,,,,,,,,,,,,,,,,,,5.11,5,5,,,,,,44.652336,20.931675
RNVM05M6,2022-02-28T08:00:00.000Z,,,,,,,,,,,,,,,,,,,,,15.4,15,15,16.9,,,,,44.796958999999994,20.475288
RMQF0HMT,2022-02-28T08:00:00.000Z,,,,,20.65,,,67,,16.35,,21,,24.11,,,18.91,,24,,6.65,6,7,35.96,,,,,44.82111999999999,20.459113000000002
RV7PD1M1,2022-02-28T08:00:00.000Z,,,,,27.91,,,89,,22.29,,28,,28.07,,,27.49,,28,,,,,,,,,,44.664084,20.926728999999998
RV7PD1M1,2022-02-28T07:00:00.000Z,,,,,37.27,,,94,,22.23,,37,,37.4,,,27.93,,37,,,,,,,,,,44.664084,20.926728999999998
RNVM05M6,2022-02-28T07:00:00.000Z,,,,,,,,,,,,,,,,,,,,,14.61,14,15,19.08,,,,,44.796958999999994,20.475288
RQMLY1RN,2022-02-28T07:00:00.000Z,,,,,,,,,,,,,,,,,,,,,13.78,13,14,,,,,,44.011572999999984,20.925031
RH91V0ZQ,2022-02-28T07:00:00.000Z,,,,,,,,,,,,,,,,,,,,,2.9,3,3,,,,,,44.652336,20.931675
RMQF0HMT,2022-02-28T07:00:00.000Z,,,,,20.18,,,67,,16.09,,20,,22.23,,,18.64,,22,,11.8,11,12,30.59,,,,,44.82111999999999,20.459113000000002
RQCHFQWB,2022-02-28T07:00:00.000Z,,,,,19.83,,,65,,14.93,,20,,20.26,,,16.68,,20,,23.5,22,24,,,,,,44.798745999999994,20.450184
RNVM05M6,2022-02-28T06:00:00.000Z,,,,,,,,,,,,,,,,,,,,,15.32,14,15,15.28,,,,,44.796958999999994,20.475288
RMQF0HMT,2022-02-28T06:00:00.000Z,,,,,18.11,,,66,,15.85,,18,,21.26,,,18.42,,21,,19.03,18,19,19.83,,,,,44.82111999999999,20.459113000000002
RV7PD1M1,2022-02-28T06:00:00.000Z,,,,,29.74,,,84,,21.49,,30,,30,,,27.82,,30,,,,,,,,,,44.664084,20.926728999999998
RH91V0ZQ,2022-02-28T06:00:00.000Z,,,,,,,,,,,,,,,,,,,,,2.87,3,3,,,,,,44.652336,20.931675
RQCHFQWB,2022-02-28T06:00:00.000Z,,,,,17.99,,,64,,14.67,,18,,18.79,,,16.44,,19,,26.49,25,26,,,,,,44.798745999999994,20.450184
RQMLY1RN,2022-02-28T06:00:00.000Z,,,,,,,,,,,,,,,,,,,,,22.57,21,23,,,,,,44.011572999999984,20.925031
RQMLY1RN,2022-02-28T05:00:00.000Z,,,,,,,,,,,,,,,,,,,,,12.72,12,13,,,,,,44.011572999999984,20.925031
RMQF0HMT,2022-02-28T05:00:00.000Z,,,,,20.11,,,67,,15.73,,20,,22.2,,,18.28,,22,,10.66,10,11,31.38,,,,,44.82111999999999,20.459113000000002
RV7PD1M1,2022-02-28T05:00:00.000Z,,,,,30.53,,,79,,20.88,,31,,31.15,,,27.85,,31,,,,,,,,,,44.664084,20.926728999999998
RNVM05M6,2022-02-28T05:00:00.000Z,,,,,,,,,,,,,,,,,,,,,11.28,11,11,26.63,,,,,44.796958999999994,20.475288
RQCHFQWB,2022-02-28T05:00:00.000Z,,,,,19.41,,,65,,14.51,,19,,21.02,,,16.36,,21,,24.41,23,24,,,,,,44.798745999999994,20.450184
RH91V0ZQ,2022-02-28T05:00:00.000Z,,,,,,,,,,,,,,,,,,,,,3.04,3,3,,,,,,44.652336,20.931675
RQMLY1RN,2022-02-28T04:00:00.000Z,,,,,,,,,,,,,,,,,,,,,8.92,8,9,,,,,,44.011572999999984,20.925031
RMQF0HMT,2022-02-28T04:00:00.000Z,,,,,20.83,,,67,,15.63,,21,,21.87,,,18.13,,22,,5.67,5,6,49.29,,,,,44.82111999999999,20.459113000000002
RQCHFQWB,2022-02-28T04:00:00.000Z,,,,,20.33,,,64,,14.38,,20,,21.1,,,16.27,,21,,17.11,16,17,,,,,,44.798745999999994,20.450184
RV7PD1M1,2022-02-28T04:00:00.000Z,,,,,21.31,,,69,,20.3,,21,,22.31,,,28.01,,22,,,,,,,,,,44.664084,20.926728999999998
RH91V0ZQ,2022-02-28T04:00:00.000Z,,,,,,,,,,,,,,,,,,,,,3.24,3,3,,,,,,44.652336,20.931675
RNVM05M6,2022-02-28T04:00:00.000Z,,,,,,,,,,,,,,,,,,,,,6.02,6,6,45.8,,,,,44.796958999999994,20.475288
RV7PD1M1,2022-02-28T03:00:00.000Z,,,,,18.17,,,68,,20.14,,18,,19.02,,,28.55,,19,,,,,,,,,,44.664084,20.926728999999998
RQMLY1RN,2022-02-28T03:00:00.000Z,,,,,,,,,,,,,,,,,,,,,3.79,4,4,,,,,,44.011572999999984,20.925031
RQCHFQWB,2022-02-28T03:00:00.000Z,,,,,14.8,,,60,,14.21,,15,,15.08,,,16.08,,15,,6.93,7,7,,,,,,44.798745999999994,20.450184
RMQF0HMT,2022-02-28T03:00:00.000Z,,,,,16.36,,,64,,15.43,,16,,17.06,,,17.93,,17,,6.18,6,6,52.76,,,,,44.82111999999999,20.459113000000002
RH91V0ZQ,2022-02-28T03:00:00.000Z,,,,,,,,,,,,,,,,,,,,,2.37,2,2,,,,,,44.652336,20.931675
RNVM05M6,2022-02-28T03:00:00.000Z,,,,,,,,,,,,,,,,,,,,,3.3,3,3,54.71,,,,,44.796958999999994,20.475288
RNVM05M6,2022-02-28T02:00:00.000Z,,,,,,,,,,,,,,,,,,,,,3.62,3,4,52.06,,,,,44.796958999999994,20.475288
RH91V0ZQ,2022-02-28T02:00:00.000Z,,,,,,,,,,,,,,,,,,,,,2.73,3,3,,,,,,44.652336,20.931675
RQMLY1RN,2022-02-28T02:00:00.000Z,,,,,,,,,,,,,,,,,,,,,3.08,3,3,,,,,,44.011572999999984,20.925031
RV7PD1M1,2022-02-28T02:00:00.000Z,,,,,19.03,,,72,,20.13,,19,,19.93,,,28.71,,20,,,,,,,,,,44.664084,20.926728999999998
RMQF0HMT,2022-02-28T02:00:00.000Z,,,,,19.07,,,68,,15.57,,19,,19.8,,,18.21,,20,,5.11,5,5,52.75,,,,,44.82111999999999,20.459113000000002
RQCHFQWB,2022-02-28T02:00:00.000Z,,,,,17.14,,,64,,14.34,,17,,17.35,,,16.21,,17,,5.95,6,6,,,,,,44.798745999999994,20.450184
RQCHFQWB,2022-02-28T01:00:00.000Z,,,,,19.48,,,67,,14.42,,19,,19.72,,,16.36,,20,,5.73,5,6,,,,,,44.798745999999994,20.450184
RH91V0ZQ,2022-02-28T01:00:00.000Z,,,,,,,,,,,,,,,,,,,,,4.47,4,4,,,,,,44.652336,20.931675
RQMLY1RN,2022-02-28T01:00:00.000Z,,,,,,,,,,,,,,,,,,,,,4.43,4,4,,,,,,44.011572999999984,20.925031
RMQF0HMT,2022-02-28T01:00:00.000Z,,,,,22.15,,,71,,15.67,,22,,23.43,,,18.37,,23,,6.67,6,7,48.84,,,,,44.82111999999999,20.459113000000002
RV7PD1M1,2022-02-28T01:00:00.000Z,,,,,27.27,,,78,,20.05,,27,,28.13,,,28.68,,28,,,,,,,,,,44.664084,20.926728999999998
RNVM05M6,2022-02-28T01:00:00.000Z,,,,,,,,,,,,,,,,,,,,,3.97,4,4,50.38,,,,,44.796958999999994,20.475288
RQMLY1RN,2022-02-28T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,4.36,4,4,,,,,,44.011572999999984,20.925031
RMQF0HMT,2022-02-28T00:00:00.000Z,,,,,22.01,,,71,,15.71,,22,,23.22,,,18.39,,23,,7.3,7,7,49.55,,,,,44.82111999999999,20.459113000000002
RH91V0ZQ,2022-02-28T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,4.22,4,4,,,,,,44.652336,20.931675
RNVM05M6,2022-02-28T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,4.75,4,5,50.2,,,,,44.796958999999994,20.475288
RV7PD1M1,2022-02-28T00:00:00.000Z,,,,,20.68,,,73,,19.74,,21,,21.73,,,28.38,,22,,,,,,,,,,44.664084,20.926728999999998
RQCHFQWB,2022-02-28T00:00:00.000Z,,,,,21.59,,,68,,14.54,,22,,21.99,,,16.52,,22,,7.71,7,8,,,,,,44.798745999999994,20.450184
RNVM05M6,2022-02-27T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,6.36,6,6,46.18,,,,,44.796958999999994,20.475288
RQCHFQWB,2022-02-27T23:00:00.000Z,,,,,20.63,,,66,,14.52,,21,,21.31,,,16.49,,21,,11.43,11,11,,,,,,44.798745999999994,20.450184
RV7PD1M1,2022-02-27T23:00:00.000Z,,,,,22.99,,,77,,19.86,,23,,25.21,,,28.47,,25,,,,,,,,,,44.664084,20.926728999999998
RMQF0HMT,2022-02-27T23:00:00.000Z,,,,,22.43,,,70,,15.73,,22,,23.81,,,18.38,,24,,7.55,7,8,49.38,,,,,44.82111999999999,20.459113000000002
RH91V0ZQ,2022-02-27T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,5.82,5,6,,,,,,44.652336,20.931675
RQMLY1RN,2022-02-27T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,4.26,4,4,,,,,,44.011572999999984,20.925031
RH91V0ZQ,2022-02-27T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,8.23,8,8,,,,,,44.652336,20.931675
RQMLY1RN,2022-02-27T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,5.02,5,5,,,,,,44.011572999999984,20.925031
RQCHFQWB,2022-02-27T22:00:00.000Z,,,,,19.37,,,63,,14.56,,19,,20.1,,,16.51,,20,,14.81,14,15,,,,,,44.798745999999994,20.450184
RV7PD1M1,2022-02-27T22:00:00.000Z,,,,,23.63,,,80,,19.87,,24,,24.35,,,28.4,,24,,,,,,,,,,44.664084,20.926728999999998
RNVM05M6,2022-02-27T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,9.42,9,9,39.85,,,,,44.796958999999994,20.475288
RMQF0HMT,2022-02-27T22:00:00.000Z,,,,,21.66,,,68,,15.7,,22,,22.99,,,18.34,,23,,9.75,9,10,44.65,,,,,44.82111999999999,20.459113000000002
RQMLY1RN,2022-02-27T21:00:00.000Z,,,,,,,,,,,,,,,,,,,,,7.11,7,7,,,,,,44.011572999999984,20.925031
RNVM05M6,2022-02-27T21:00:00.000Z,,,,,,,,,,,,,,,,,,,,,12.21,12,12,42.11,,,,,44.796958999999994,20.475288
