Device ID,Time [UTC+00:00],PM1 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM1 1-Hour Mean Mass Concentration Raw [ug/m3],PM1 1-Hour Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM2.5 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 1-Hour Mean Number Concentration [#/cm3],PM2.5 NowCast Mass Concentration [ug/m3],PM2.5 NowCast AQI (US EPA),PM2.5 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM2.5 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM2.5 24-Hour Rolling Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean AQI (WA DWER),PM10 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM10 1-Hour Mean Mass Concentration Raw [ug/m3],PM10 1-Hour Mean Number Concentration [#/cm3],PM10 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM10 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM10 24-Hour Rolling Mean Number Concentration [#/cm3],PM10 1-Hour Mean AQI (WA DWER),NO2 1-Hour Mean Concentration Calibrated [ppb],NO2 1-Hour Mean Concentration Raw [ppb],NO2 1-Hour Mean AQI (US EPA),NO2 1-Hour Mean AQI (WA DWER),O3 1-Hour Mean Concentration Raw [ppb],Temperature Internal 1-Hour Mean [degC],Temperature Ambient 1-Hour Mean [degC],Rel. Humidity Internal 1-Hour Mean [%],Rel. Humidity Ambient 1-Hour Mean [%],Wind Speed 1-Hour Mean [m/s],Wind Direction 1-Hour Mean [degrees],Atmospheric Pressure 1-Hour Mean [hPa],latitude,longitude
A5H2PCSZ,2023-01-31T16:00:00.000Z,,10.87,20.46,,16.95,21.31,,66,,37.05,48.74,17,,18.22,21.43,,45.15,49.14,18,,15.27,14,15,,24.24,,31.16,,,,,44.797027,20.528377
AY1R2WBZ,2023-01-31T16:00:00.000Z,,23.71,34.4,,37.05,35.89,,119,,60.26,70.34,37,,44.41,36.18,,79.2,71.05,44,,2.6,2,3,,16.24,,38.45,,,,,43.0671684,22.4085712
A0VTV4M9,2023-01-31T16:00:00.000Z,,40.11,46.29,,65.72,48.65,,128,,64.48,46.98,66,,86.96,49.18,,91.52,47.64,87,,16.37,15,16,,3.94,,78.94,,,,,44.010408,20.91121
A3QK8XR1,2023-01-31T16:00:00.000Z,,16.17,26.1,,26.02,27.4,,66,,39.44,49.26,26,,35.07,27.61,,54.56,49.8,35,,12.29,12,12,,19.77,,33.39,,,,,44.010408,20.91121
AHVMMMWN,2023-01-31T16:00:00.000Z,,43.65,49.89,,66.05,52.1,,141,,92.29,69.46,66,,88.09,52.5,,136.94,70.37,88,,6.9,7,7,,1.74,,76.75,,,,,43.0671684,22.4085712
A2027ZB9,2023-01-31T16:00:00.000Z,,16.27,17.55,,27.54,18.32,,85,,70.57,50.04,28,,33.46,18.49,,99.29,50.77,33,,11.48,11,11,,5.81,,67.07,,,,,44.797027,20.528377
A9YQLGCC,2023-01-31T16:00:00.000Z,,4.01,6.66,,7.03,6.95,,43,,52.14,34.14,7,,11.13,7.03,,81.72,34.7,11,,3.29,3,3,,5.14,,47.87,,,,,42.5366089,20.2955676
AC8QFXSV,2023-01-31T16:00:00.000Z,,0.53,2.05,,2.69,2.15,,16,,13.2,8.92,3,,3.72,2.19,,17.41,9.02,4,,6.25,6,6,,-1.55,,72.63,,,,,43.273598233937264,20.002305028664463
AQVRLJYL,2023-01-31T16:00:00.000Z,,,,,,,,,,91.51,49.42,,,,,,150.98,50.2,,,12.26,12,12,,5.22,,75.85,,,,,44.664514,20.928384
ABZ0QQ65,2023-01-31T16:00:00.000Z,,8.58,16.54,,12.38,17.28,,,,37.29,54.41,12,,13.42,17.35,,45.61,54.77,13,,5.56,5,6,,24.99,,26.9,,,,,44.664514,20.928384
A5H2PCSZ,2023-01-31T15:00:00.000Z,,12.34,22.47,,18.86,23.39,,70,,38.1,50.11,19,,20.1,23.54,,46.57,50.52,20,,1.68,2,2,,24.3,,27.68,,,,,44.797027,20.528377
A0VTV4M9,2023-01-31T15:00:00.000Z,,18.09,17.73,,30.18,18.63,,82,,66.23,48.53,30,,39.15,18.83,,94.5,49.23,39,,14.38,14,14,,3.98,,77.44,,,,,44.010408,20.91121
AQVRLJYL,2023-01-31T15:00:00.000Z,,,,,,,,,,91.51,49.42,,,,,,150.98,50.2,,,12.38,12,12,,5.24,,76.06,,,,,44.664514,20.928384
ABZ0QQ65,2023-01-31T15:00:00.000Z,,,,,,,,,,41.59,59.93,,,,,,51.17,60.33,,,,,,,,,,,,,,44.664514,20.928384
AY1R2WBZ,2023-01-31T15:00:00.000Z,,23.47,34.47,,36.31,35.95,,133,,60.71,70.69,36,,43.45,36.2,,79.99,71.41,43,,3.3,3,3,,16.36,,39.12,,,,,43.0671684,22.4085712
A3QK8XR1,2023-01-31T15:00:00.000Z,,6.32,11.5,,10.71,12.05,,53,,40.62,50.93,11,,15.55,12.18,,56.36,51.5,16,,9.28,9,9,,19.8,,31.8,,,,,44.010408,20.91121
